match_id,team1,team2,path,prediction,team1_base_elo,team1_qual_bonus,team2_base_elo,team2_qual_bonus,team1_path_fatigue,team2_path_fatigue,team1_path_opponent,team2_path_opponent,model_prediction,selection_source
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W92(W79(A1(Mexico))))),alt,Portugal (69%),1984,51,1867,0,753,1075,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W100(W96(W87(K1(Colombia))))),alt,Portugal (66%),1984,51,1977,10,753,941,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,Portugal (66%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(E2(Ecuador))))),alt,Portugal (69%),1984,51,1935,18,753,1080,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(E2(Germany))))),alt,Portugal (62%),1984,51,1925,69,753,1065,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,Portugal (62%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(I2(France))))),alt,France (63%),1984,51,2081,73,753,963,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,France (63%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W78(I2(Senegal))))),alt,Portugal (69%),1984,51,1867,58,753,1225,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,Portugal (69%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W76(F2(Japan))))),alt,Portugal (67%),1984,51,1906,79,753,1026,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,Portugal (67%),model
M103,W101(W98(W93(W83(K2(Portugal))))),W102(W99(W91(W76(F2(Netherlands))))),alt,Portugal (66%),1984,51,1961,73,753,1041,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,Portugal (66%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (70%),2020,97,2113,40,787,571,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (70%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W100(W96(W87(K1(Portugal))))),alt,Portugal (50%),2020,97,1984,51,787,753,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Portugal (50%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(I2(Norway))))),alt,England (62%),2020,97,1917,92,787,1014,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,England (62%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W92(W79(A1(Mexico))))),alt,England (69%),2020,97,1867,0,787,1075,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,England (69%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W100(W96(W87(K1(Colombia))))),alt,England (65%),2020,97,1977,10,787,941,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,England (65%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(E2(Ecuador))))),alt,England (69%),2020,97,1935,18,787,1080,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Germany:-5 > South Korea:0 > France:-38 > Netherlands:-19 > Spain:-68,England (69%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(E2(Germany))))),alt,England (61%),2020,97,1925,69,787,1065,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Ecuador:-3 > Australia:0 > France:-38 > Netherlands:-19 > Spain:-68,England (61%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(I2(France))))),alt,France (63%),2020,97,2081,73,787,963,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Norway:-5 > G|Senegal:-4 > Egypt:0 > Germany:-20 > Netherlands:-19 > Spain:-68,France (63%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W78(I2(Senegal))))),alt,England (69%),2020,97,1867,58,787,1225,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|France:-9 > G|Norway:-5 > Germany:-10 > Brazil:-12 > Spain:-55 > France:-57,England (69%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W76(F2(Japan))))),alt,England (66%),2020,97,1906,79,787,1026,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Netherlands:-4 > Brazil:-6 > South Korea:0 > France:-45 > Spain:-68,England (66%),model
M103,W101(W98(W93(W83(L2(England))))),W102(W99(W91(W76(F2(Netherlands))))),alt,England (66%),2020,97,1961,73,787,1041,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,England (66%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W100(W95(W86(J1(Argentina))))),alt,Argentina (82%),1961,73,2113,40,1041,571,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,G|Austria:-3 > Uruguay:0 > Paraguay:0 > Portugal:-29 > England:-37,Argentina (82%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W100(W96(W87(K1(Portugal))))),alt,Portugal (66%),1961,73,1984,51,1041,753,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,G|Colombia:-4 > Panama:0 > Switzerland:-10 > Turkey:-20 > France:-57,Portugal (66%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W99(W92(W80(L1(England))))),alt,England (66%),1961,73,2020,97,1041,787,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,G|Croatia:-2 > DR Congo:0 > Mexico:-13 > Norway:-23 > France:-57,England (66%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W99(W91(W78(I2(Norway))))),alt,Norway (54%),1961,73,1917,92,1041,1014,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,G|France:-9 > G|Senegal:-4 > Ecuador:-7 > Japan:-15 > Netherlands:-19 > Spain:-68,Norway (54%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W99(W92(W79(A1(Mexico))))),alt,Netherlands (54%),1961,73,1867,0,1041,1075,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,Ivory Coast:0 > Netherlands:-15 > France:-45 > Spain:-68,Netherlands (54%),model
M103,W101(W97(W90(W75(F1(Netherlands))))),W102(W100(W96(W87(K1(Colombia))))),alt,Colombia (51%),1961,73,1977,10,1041,941,G|Japan:-4 > Morocco:-4 > Canada:-4 > France:-45 > Spain:-68,G|Portugal:-6 > Croatia:-5 > Spain:-45 > Turkey:-20 > England:-37,Colombia (51%),model
