match_id,team1,team2,path,predicted_winner,elo,qualification_form,h2h,prediction
M78,E2(Ecuador),I2(Norway),primary,Ecuador (51%),Ecuador (53%),Norway (63%),Ecuador (50%),Ecuador (51%)
M78,E2(Germany),I2(France),alt,France (65%),France (68%),France (51%),France (56%),France (65%)
M78,E2(Germany),I2(Norway),alt,Germany (50%),Germany (51%),Norway (54%),Germany (86%),Germany (50%)
M78,E2(Germany),I2(Senegal),alt,Germany (57%),Germany (58%),Germany (52%),Germany (50%),Germany (57%)
M78,E2(Ecuador),I2(France),alt,France (66%),France (67%),France (60%),France (65%),France (66%)
M78,E2(Ecuador),I2(Senegal),alt,Ecuador (57%),Ecuador (60%),Senegal (57%),Senegal (100%),Ecuador (57%)

M79,A1(Mexico),CEFHI3(Senegal),primary,Mexico (60%),Mexico (64%),Senegal (61%),Mexico (100%),Mexico (60%)
M79,A1(Mexico),CEFHI3(Norway),alt,Mexico (53%),Mexico (57%),Norway (67%),Mexico (66%),Mexico (53%)

M80,L1(England),EHIJK3(Uzbekistan),primary,England (79%),England (83%),England (58%),England (50%),England (79%)
M80,L1(England),EHIJK3(DR Congo),alt,England (84%),England (88%),England (58%),England (50%),England (84%)
M80,L1(Croatia),EHIJK3(Uzbekistan),alt,Croatia (72%),Croatia (75%),Croatia (57%),Croatia (50%),Croatia (72%)
M80,L1(Croatia),EHIJK3(DR Congo),alt,Croatia (77%),Croatia (81%),Croatia (57%),Croatia (50%),Croatia (77%)

M81,D1(Turkey),BEFIJ3(Algeria),primary,Turkey (66%),Turkey (69%),Algeria (53%),Algeria (76%),Turkey (66%)
M81,D1(Turkey),BEFIJ3(Austria),alt,Turkey (56%),Turkey (57%),Austria (52%),Turkey (58%),Turkey (56%)
M81,D1(Turkey),BEFIJ3(Jordan),alt,Turkey (73%),Turkey (76%),Turkey (54%),Turkey (50%),Turkey (73%)
M81,D1(United States),BEFIJ3(Austria),alt,Austria (52%),United States (50%),Austria (62%),Austria (89%),Austria (52%)
M81,D1(United States),BEFIJ3(Algeria),alt,United States (59%),United States (63%),Algeria (62%),United States (100%),United States (59%)
M81,D1(United States),BEFIJ3(Jordan),alt,United States (66%),United States (70%),Jordan (56%),United States (50%),United States (66%)

M82,G1(Belgium),AEHIJ3(Czechia),primary,Belgium (69%),Belgium (71%),Belgium (57%),Belgium (71%),Belgium (69%)
M82,G1(Belgium),AEHIJ3(South Korea),alt,Belgium (65%),Belgium (68%),Belgium (50%),Belgium (96%),Belgium (65%)
M82,G1(Belgium),AEHIJ3(South Africa),alt,Belgium (84%),Belgium (89%),Belgium (53%),Belgium (50%),Belgium (84%)
M82,G1(Iran),AEHIJ3(South Korea),alt,Iran (51%),Iran (51%),South Korea (51%),Iran (52%),Iran (51%)
M82,G1(Iran),AEHIJ3(Czechia),alt,Iran (54%),Iran (54%),Iran (55%),Iran (50%),Iran (54%)
M82,G1(Iran),AEHIJ3(South Africa),alt,Iran (76%),Iran (80%),Iran (51%),Iran (50%),Iran (76%)

M83,K2(Colombia),L2(Croatia),primary,Colombia (57%),Colombia (60%),Croatia (63%),Croatia (100%),Colombia (57%)
M83,K2(Portugal),L2(England),alt,England (53%),England (52%),England (56%),England (73%),England (53%)
M83,K2(Portugal),L2(Croatia),alt,Portugal (59%),Portugal (61%),Croatia (55%),Portugal (67%),Portugal (59%)
